Car_ID,Owner_Name,Contact,City,Purchase_Year
C1027 , owner_27 ,+91 9489792257 ,AhmeDAbaD,1970-01-01
 c1028  ,OwneR_28, +91 9663410192, aHmEDaBad , 1970-01-01 
c1029,OWneR_29 ,+91 9502047866 ,  bANgaLORe ,1970/01/01 
 C1030  ,owner_30,+91 9807936385 , PuNe ,01/01/1970
  c1031, OwneR_31  ,+91 9616706237  ,LUckNOw ,"JAN 01, 1970"
 C1032 , OWnER_32,+91 9683973999 , DELhi,1970/01/01 
C1033,OwNER_33 , +91 9841324664,hYDeRABaD,"Jan 01, 1970 "
 c1034 ,OwnER_34, +91 9507817542 ,  Lucknow, 1970/01/01
C1035 ,  oWNeR_35 ,+91 9630342451 ,bANgAlORe ,01 jaN 1970 
 C1036 , oWNEr_36, +91 9954208057 , CHenNai,01/01/1970
c1037 , OwNEr_37  , +91 9771520217 ,bANGAlore,01/01/1970
  C1038  , OWner_38 , +91 9739181839  , aHMEdAbaD , 1970/01/01
 c1039,oWNeR_39,+91 9443185194 ,DelHi,01/01/1970
C1040 , Owner_40, +91 9424697234 , BangALoRe, 01-01-1970 
 c1041 ,oWnER_41,+91 9182882509,pUNe ,1970/01/01
c1042 ,owneR_42, +91 9604854931, lUcKNow, 01 JAN 1970 
C1043,owNeR_43, +91 9691725310,LuCkNOW , 01/01/1970
 c1044 ,Owner_44  ,+91 9455316886,  JAipUR , 1970/01/01
C1045, owneR_45 , +91 9161092076, delhI  ,01-01-1970 
c1046 , oWnER_46  , +91 9678696491 , hydERabAd  ,"jAN 01, 1970 "
 c1047 ,OwnEr_47,+91 9663759179 ,cHeNnAi  , 01 jan 1970
 C1048,oWner_48 , +91 9952940894  ,deLhi,"JAN 01, 1970 "
 c1049, owNer_49, +91 9735877132 , pUNe ," jAn 01, 1970 "
C1050, OwNer_50 ,+91 9443446389, KOLkATa , 01-01-1970
C1051  , OwnEr_51,+91 9878821169 ,  KOlKaTA,1970-01-01
 C1052,owNEr_52, +91 9449196809,hydErAbAD ,01-01-1970
C1053 ,ownEr_53 ,+91 9759479581,luckNOW ," Jan 01, 1970"
 c1054  ,oWNeR_54,+91 9652092769,PuNe ,"jAn 01, 1970"
 c1055 ,  oWneR_55 , +91 9229961795 , pUNe , 01-01-1970
c1056 ,ownEr_56 , +91 9297252980,  PuNE,"JAn 01, 1970"
C1057, owNER_57  , +91 9719493412 ,CHeNnaI,01 jAn 1970
C1058 ,owneR_58, +91 9950371939, KOlKAta,1970-01-01
 c1059 ,oWnEr_59 , +91 9817703028,PUNe, 1970/01/01
C1060,OwnER_60 , +91 9935025756, KoLkatA ,"JAN 01, 1970 "
C1061 , OwnER_61 ,  +91 9334703365 , HYdERAbAD ,01/01/1970
C1062 ,oWnEr_62, +91 9123631069  , dELHi,1970-01-01 
 c1063,  OwNeR_63  ,+91 9364428100,  HYdeRabAd,01 jAn 1970
C1064 , oWner_64 ,+91 9520326422,KOLKAta,1970/01/01 
C1065,  owNeR_65  , +91 9828967639 ,BaNGALorE,"jan 01, 1970"
c1066 , OwnEr_66,+91 9568436910,hydERABAd ,01/01/1970
 c1067, ownEr_67 , +91 9882926200,hydeRabad  ,1970/01/01
  c1068  ,OWnER_68 ,+91 9523325785,cHeNNAi ,01 jan 1970
  C1069 ,OWNeR_69 ,  +91 9976773594 ,LucKNOW  ,1970-01-01
 c1070  ,oWNer_70, +91 9545691086 ,jaIPUR ,01-01-1970
 c1071,OWner_71,  +91 9371041175,MuMbAi ,1970/01/01
 C1072, oWnEr_72, +91 9671094262, aHMEdaBad ,01 jAn 1970 
C1073 , OWNER_73,+91 9706030203 ,PuNe  ,01-01-1970
 C1074 , OwNer_74  ,+91 9919226769, LUCKnow ,"JaN 01, 1970 "
C1075 ,owNER_75 ,+91 9978287926 ,ahMedaBad,"JAn 01, 1970 "
c1076,oWNER_76  , +91 9823666837,jaiPuR  ,"JaN 01, 1970"
 c1077 , oWNer_77, +91 9396131691 ,MumbaI,1970/01/01
 C1078 , owNeR_78 ,+91 9188787815,CHEnNaI ,"JAn 01, 1970"
c1079,OwNER_79, +91 9366580927, BangAlORe ,01 jAN 1970 
  c1080, OWNeR_80  ,+91 9192475725 , luCKNoW,1970-01-01
C1081 , oWnEr_81 ,+91 9169331225,MuMBAi,1970-01-01 
  c1082, oWneR_82, +91 9249119207, deLhI ,01-01-1970
 C1083 ,owNeR_83 ,+91 9593835123,JaipuR , 01/01/1970 
c1084  ,oWNEr_84 ,+91 9196977509  ,ChENNai ,1970-01-01 
C1085,OWNeR_85, +91 9334367277,jAIpUr ,01-01-1970 
 C1086, oWnEr_86,+91 9846858290 ,  BangaloRE , 1970-01-01 
c1087 ,OwNeR_87, +91 9802017724,KolkATa  ,01 JaN 1970
c1088 ,OWNEr_88  , +91 9803907153,MuMbAi  ,01/01/1970 
 C1089 ,OwnER_89,+91 9940202487 , AhMeDABaD  , 01 jan 1970
c1090  , OwnER_90, +91 9473469162, pUne  ,01-01-1970 
 C1091 , owNeR_91 ,+91 9324970064 ,CHenNai ,1970/01/01
 C1092, oWNeR_92 , +91 9823123257, AHmedAbAD , 1970/01/01
c1093 ,oWneR_93,  +91 9132159703  , KOLkATa,01-01-1970
C1094 , OwnER_94 , +91 9258533729, BaNGALORe  ,"jAn 01, 1970 "
  c1095, OwNeR_95  ,+91 9896125833,PUne, 1970/01/01
 c1096, OwNeR_96,  +91 9782626172,JAIPur,01 jan 1970 
C1097  , oWNer_97 ,+91 9910809745 , mUmbai,01 JAn 1970 
c1098 , oWNEr_98 ,+91 9980351659 ,jaiPUR ,1970-01-01
 C1099, oWNER_99,+91 9720983698 ,  chENNai  ,01-01-1970
c1100 ,OwnEr_100,+91 9310888109 ,  mUmBaI ,1970-01-01
 c1101  ,oWNeR_101 , +91 9661009938  ,  MUMBai , 01/01/1970 
C1102, OWNeR_102 ,+91 9430708938 ,chennai,1970/01/01
C1103 ,ownEr_103,  +91 9274473338, LucKNow ,"jaN 01, 1970"
  c1104 , OwneR_104, +91 9644207306 ,  kolKATa,"jaN 01, 1970 "
  C1105,Owner_105 ,+91 9747232992,ahMedabaD ,1970/01/01 
 c1106 ,  OWneR_106 , +91 9807461032 , LUcknOw , 1970/01/01 
 C1107, owNER_107 ,+91 9667933292, lUcKNOw  ,1970-01-01 
 c1108,OwNER_108 ,+91 9887461239,  CHenNAi ,01/01/1970
C1109 , Owner_109 ,  +91 9357954942 , LucKnoW ,01-01-1970
  C1110  ,  OWNer_110,+91 9153039435  , aHmeDAbAD,"JAn 01, 1970"
 c1111, owNeR_111 ,+91 9916828434 ,AhMeDabad  ,01-01-1970
c1112  , OWNER_112 , +91 9780163019, AHmEDABad ,1970/01/01
 C1113  ,OwNer_113,+91 9176508694 ,bAngaLore ,"Jan 01, 1970"
c1114, oWneR_114,+91 9933401615, bangalOre ,1970/01/01 
 c1115 ,oWner_115 ,  +91 9666667881,  hyDerABad ,1970-01-01 
C1116,oWnEr_116 ,+91 9734952885 ,MumbAi  ,01 jAn 1970
c1117, OWNER_117 , +91 9428286118  ,CheNnAI ,01/01/1970
 C1118, oWNeR_118,+91 9886854020,AhMeDABAd,01/01/1970
C1119 , OwNER_119, +91 9449002210  ,cHenNai ,01/01/1970
c1120 , OWner_120, +91 9876330857,  kolkATA, 1970/01/01
 c1121, OWnEr_121  ,+91 9876647228,HYdERAbaD ,01/01/1970
 c1122 ,owNER_122 ,+91 9545815329, BANGALORE,1970/01/01
c1123,  OwnEr_123 ,+91 9242752164,LuCKNOW,01 jan 1970
C1124,OwnER_124, +91 9262284648,  hyDeRaBAd ,01 JAn 1970
 c1125 ,  owNeR_125 , +91 9185032888,deLhi,01-01-1970
C1126 , oWNEr_126, +91 9205044779 , bAngalOrE ,01 JaN 1970
 c1127,owNeR_127 ,+91 9553964914,  jAiPur,1970-01-01 
 C1128,OwNER_128 ,+91 9494722900  ,ChenNaI ,01 jAN 1970 
c1129,OWNEr_129,  +91 9244681680, KolKaTa ,1970/01/01 
c1130,oWNER_130 ,  +91 9769356436 ,hYderabAd ," jAN 01, 1970 "
 c1131,OWNeR_131 , +91 9673574771 , MuMbAI,1970-01-01
 C1132  , OWNer_132,  +91 9686427232 ,  ChENNAI ,"jan 01, 1970"
c1133,oWner_133, +91 9608984592 ,LUcKnOW,1970-01-01
C1134  , oWNer_134 ,+91 9551799827 ,LUcKnow, 01-01-1970
c1135 ,oWNeR_135 ,+91 9832409318,baNGaLOre,1970/01/01
 c1136, oWNER_136 , +91 9668511402 ,PuNe ,01-01-1970
  c1137, owNEr_137 , +91 9878611462, koLKaTa  , 01/01/1970
c1138,OWNer_138, +91 9677564257 , PUnE,01 jaN 1970 
 c1139 ,oWneR_139 ,  +91 9779271725, chEnnAi, 01 jAn 1970 
  C1140, OWNER_140 ,+91 9174974594  ,aHmeDabAd ,"jan 01, 1970"
 C1141,owneR_141 , +91 9877193478 ,CHennAi ,1970-01-01 
 C1142 ,oWnER_142, +91 9944814061,lucknow,1970-01-01
  C1143,oWner_143 ,  +91 9643156571 , lUCKnow  ,1970/01/01
 c1144,OwNeR_144 ,  +91 9433964238 ,banGalOrE , 01 jAN 1970
C1145 , OwNER_145 ,+91 9961763908, mUmbAI ,1970/01/01 
C1146,oWNer_146 ,+91 9600294072,ChEnnaI ,01/01/1970 
C1147 ,OWNeR_147,+91 9957375761 ,lucknOW ,01/01/1970
 C1148, OWner_148,+91 9929272348,DELHI ,01-01-1970 
  c1149,OWnEr_149, +91 9954187020 ,  AHMEdAbaD ,1970/01/01
c1150, OWNEr_150, +91 9620457613 ,  mUmBaI , 01 JAN 1970 
C1151 ,OwneR_151 , +91 9758609601 ,dELhI ,01 JAn 1970
C1152  , owneR_152,+91 9449038229 ,CHENNaI, 1970-01-01 
C1153,OwnEr_153,+91 9538216674  , JaiPUr  ,1970-01-01 
 c1154 ,OwNeR_154,+91 9605882092 , PUnE , 01-01-1970
c1155, OwNer_155 ,+91 9713975929, aHmEDABaD , 1970-01-01
C1156,OwnER_156, +91 9840511072 ,chenNai ,01 jan 1970
c1157,oWnEr_157 ,+91 9527568230,kOlKaTa ,01/01/1970
 C1158 , oWneR_158 , +91 9675080365, KolKATA, 1970/01/01 
 c1159,OWNER_159 ,+91 9318342958 ,mUMbai,01/01/1970
 c1160, OWNeR_160, +91 9293344256 , mUmBaI,01-01-1970 
c1161, OWNEr_161 , +91 9622780436, HyDerABAd ,1970/01/01 
c1162,oWner_162,+91 9227279140,KOLKATa , 01/01/1970 
  c1163 ,owNeR_163 , +91 9664161010 ,koLkaTa ,"jan 01, 1970"
C1164 ,  owNER_164,+91 9516234298 ,pUNe,01-01-1970
c1165,OwnER_165 , +91 9750343990  ,mumBai  , 1970-01-01 
 C1166 , OwneR_166,+91 9346908555 , jAIpur, 1970/01/01 
  c1167,owner_167  , +91 9627561364 ,  aHmedAbaD," JaN 01, 1970"
 C1168 ,OWNer_168, +91 9576905908  ,LuCknow ,1970/01/01
C1169 , OwnER_169  ,+91 9291126918 ,HyDerAbaD , 1970/01/01 
 c1170 ,oWner_170, +91 9529484791 , hyDErabAD ,01-01-1970 
  c1171,oWner_171 , +91 9264138381 , PUNE ,1970/01/01 
  c1172,oWnEr_172  , +91 9844707250 ,CheNnai ," Jan 01, 1970"
C1173  ,oWNer_173 ,+91 9548435446,deLhi,01-01-1970 
c1174, OWnEr_174,+91 9992860943 ,hYdERabAd,1970-01-01
 C1175, OWNER_175 , +91 9445940599 ,  HyDeRAbad , 1970-01-01 
C1176,OwNeR_176 , +91 9579998922, ChENNAi,01-01-1970
c1177,  OwNEr_177 ,+91 9468884515,banGaLOre,01 jAn 1970
 c1178, OWnER_178,+91 9848073740, DelHI ,"jAn 01, 1970"
 C1179,OWNeR_179 ,  +91 9971940744 ,JAIPUr ," JAN 01, 1970 "
 c1180,ownEr_180,+91 9202661539, luCKNoW, 01 Jan 1970 
C1181, OwnER_181, +91 9806432289, DElhi,1970-01-01 
  C1182,OWNeR_182 ,+91 9115627168 , BaNgALORE, 1970/01/01
c1183  ,OWNER_183 ,  +91 9182351467, dElHi, 1970-01-01
c1184  , OwnEr_184, +91 9254283974  , CHeNNAI,01 JaN 1970 
C1185 ,OWnEr_185 ,  +91 9649247188 ,DelhI,"Jan 01, 1970 "
 c1186 ,oWNeR_186 ,+91 9943981220, BAngaLOrE , 1970/01/01
c1187 ,OWner_187, +91 9375720082 ,lucKnOW ,01/01/1970
 C1188 ,ownEr_188  , +91 9351660025,pune , 1970-01-01
 C1189,OWNer_189, +91 9556068900 , ahmEDaBAd ,"JaN 01, 1970"
c1190 ,OwNeR_190 , +91 9619086854 ,PUnE ,01-01-1970 
C1191 , oWNeR_191, +91 9108510947 , AhmedABAD,1970/01/01 
C1192, oWneR_192 , +91 9957748945 ,HyDERaBAD , 01 jan 1970
C1193 ,OWNER_193  , +91 9547593913  , LuckNOW ,01/01/1970 
c1194 , oWNeR_194, +91 9745856989  , baNgaloRe,01/01/1970 
 C1195, owNEr_195 , +91 9971260325 ,  aHmeDabad ,1970/01/01 
 c1196 , OwNer_196  ,  +91 9639609817 , MUmBai ,01 jAN 1970 
C1197 , owner_197,  +91 9469301775,lUcKnoW, 01/01/1970
c1198 , OWNEr_198,+91 9155990001,  PUNE,01-01-1970
c1199 ,  OwNER_199, +91 9637817330 ,cheNnAI,01 jAN 1970
 c1200, owneR_200,  +91 9422055334 ,aHmEdabaD,1970-01-01
  c1201, owNer_201 ,+91 9980028466  ,AHMEDaBAD  ,1970/01/01
  C1202,oWneR_202 , +91 9956434723 , luCkNoW  ,1970/01/01 
c1203  , owner_203,+91 9825385604,punE  ,1970-01-01
 c1204, owneR_204 ,+91 9871706804, HyDErAbAD  ,01-01-1970
C1205,Owner_205 , +91 9894503427 ,chenNai," jaN 01, 1970"
C1206 ,owner_206,+91 9926546662  ,lUCKNOW , 01 jaN 1970
 c1207  ,OwNEr_207  ,+91 9681033148, MUMbAI  ,1970-01-01
 c1208 ,OWner_208, +91 9564817306 , CHENNAi, 1970/01/01 
c1209  ,owNer_209 , +91 9360222408 ,lucknow , 1970/01/01
C1210, OwNER_210,+91 9453592219 , BAngalOrE , 01 JaN 1970 
 C1211,  OwnER_211  , +91 9806298333, deLhI,1970/01/01 
 c1212,OwNEr_212 ,+91 9883323549,pune,01/01/1970 
 C1213, OWNER_213,+91 9252938276 ,cHeNNAi ,1970-01-01 
 c1214  ,OwNEr_214 ,  +91 9976006597 ,HYDErABad , 1970/01/01
 c1215, OwNEr_215 ,+91 9220596484, bangaLoRe  ,01/01/1970
 C1216,owNEr_216,+91 9449757185 ,CheNnAi ,1970/01/01 
c1217,oWNer_217 ,+91 9258482453,AHmEDABad ,1970/01/01
 c1218 , oWNER_218,  +91 9548203460 ,koLKATA,1970/01/01 
c1219 ,OWNeR_219 ,  +91 9894981731 ,MUMBAI,"jaN 01, 1970"
 c1220 ,OWneR_220  ,+91 9453373935,DelHi,1970-01-01
C1221,oWNER_221 ,+91 9296877563 , BANgAloRe  ,"Jan 01, 1970"
C1222 , OwnER_222 , +91 9233927502,BaNGALoRe,1970-01-01 
 C1223 , OWnEr_223  , +91 9774876180, cheNNai,"JAn 01, 1970 "
c1224  , oWneR_224 , +91 9938482957  , ChenNAi ,01/01/1970
 C1225,OWneR_225  , +91 9703461206 ,JAIPUr,01/01/1970
c1226,Owner_226 ,+91 9978770889,  puNe , 01 Jan 1970
c1227, oWnER_227, +91 9873585894 ,  ahmeDaBAD,01 JAn 1970
c1228  , oWner_228 , +91 9872448698, AhMEDabAD  ,01/01/1970
  c1229, OwneR_229,+91 9410829640 ,  MUmBaI  ,01 JAN 1970
c1230, OwNeR_230,+91 9982108793,mumbaI, 01-01-1970 
C1231,OWNEr_231 ,  +91 9607710990 , cheNnAi,01-01-1970
 c1232, OwNeR_232 , +91 9951464330  , LUCkNow, 1970-01-01
 c1233 ,OWNeR_233, +91 9515672381,BaNgaLore, 01 jaN 1970 
  c1234,oWNEr_234, +91 9854293222  ,HYdeRabad,"jAn 01, 1970 "
 C1235, OWNeR_235, +91 9580837761 ,DELhI, 1970-01-01 
 C1236,OwneR_236 , +91 9460132546 ,CHennAI  , 01/01/1970
C1237 , owNEr_237  , +91 9367829714, BANgalorE,1970/01/01 
 C1238, OWnEr_238, +91 9886668065 , jAiPUr, 01 jan 1970 
 c1239 ,oWNeR_239, +91 9877188377,  ChenNAi ,01-01-1970
 C1240, oWnEr_240 , +91 9739340741 ,JAIPUr,01-01-1970
 C1241, owneR_241 , +91 9604230860 ,pUne ,1970-01-01
  c1242,OwNer_242,+91 9702263946, hydERABAD,01/01/1970
 c1243 , OWNer_243,+91 9112285718, KoLkATa,"JaN 01, 1970"
c1244 , OwNeR_244 , +91 9136841104, dELHi,"jaN 01, 1970"
C1245 , OwNER_245 ,+91 9721161439 ,BangALOre,01 JAn 1970
  C1246,ownEr_246 , +91 9100159298, ahmeDAbAD  ,1970-01-01
 c1247 ,oWNer_247 , +91 9865198495 ,  BAngAloRE ,1970/01/01
  c1248 , OWnER_248, +91 9705688913 ,HYDERAbAD ,1970-01-01 
C1249 ,OWNeR_249,+91 9817831943 , AHmeDAbad ,01-01-1970
C1250, oWner_250, +91 9696068501, baNgaLORE ,01-01-1970 
C1251,  owner_251, +91 9202646989, lucKNoW ,01/01/1970
C1252,oWNer_252 ,+91 9771832111,JaiPur, 01 JaN 1970
C1253 ,Owner_253, +91 9448484487 ,lUCKNoW, 01-01-1970
 C1254, owNeR_254 ,+91 9695525796  ,Delhi,1970/01/01
 C1255  , Owner_255, +91 9165295968 ,  delHi ,01/01/1970
c1256 ,OWnER_256 ,+91 9777880176 , kolKATa ,1970-01-01
c1257,oWneR_257  , +91 9977559364 ,hYdERabaD ,"JaN 01, 1970 "
 c1258,oWNEr_258 ,+91 9317351401,LUCKnOw  , 1970-01-01
 C1259,OwnEr_259, +91 9799492226 ,AhmEdABaD ,1970/01/01
  c1260, OWneR_260, +91 9473807625 ,AhmEdABAD ,1970/01/01
 C1261 ,  oWneR_261 ,+91 9360996661,  LucKNow  ,1970/01/01
 C1262, owNEr_262 ,+91 9828558922 ,lUCkNow ,01-01-1970 
c1263 , OWNER_263,+91 9270030224, ChenNaI ,1970/01/01 
c1264 ,OwNER_264, +91 9917336815 , puNE,01 JaN 1970
 C1265 ,  oWner_265 ,+91 9148182550,mumBAi,1970-01-01
c1266 , oWner_266 , +91 9720175181  ,kOlkATa , 01 JaN 1970
 C1267, owNEr_267  ,+91 9253746616,CheNnAI,1970/01/01
 C1268 ,OwNer_268  ,+91 9308101410,koLkATa , 1970-01-01
 c1269,OwNeR_269 ,+91 9885252235, AhmedaBAd, 1970/01/01
  c1270,oWNer_270,+91 9906868437,  KoLKATA,01 JAN 1970
 C1271,OWneR_271 ,+91 9453514231 ,koLkatA, 1970-01-01 
c1272  , OWneR_272 ,+91 9359084044 , dELhi ,1970-01-01
 c1273,  OWnEr_273 , +91 9449189440, baNGaLoRE,01 JAn 1970
C1274, owNER_274 , +91 9866079189 , DELHi , 1970-01-01
 C1275,  OWner_275,+91 9530717690, lucKnoW , 1970-01-01
  C1276,owneR_276,+91 9574926224,Jaipur, 1970-01-01
C1277,ownER_277 , +91 9448394612,  KOLKaTa ,01-01-1970
c1278 ,owNEr_278 , +91 9562571559, JAIpUR,"JaN 01, 1970"
 c1279,owNeR_279  ,+91 9424268371 ,lUcknOw ,1970-01-01
 C1280 ,  OwneR_280  ,+91 9628665000  , LUCkNoW , 01-01-1970
  c1281,owNer_281 , +91 9860156186, hYDerAbAD ,1970-01-01
c1282,  oWNeR_282,+91 9333878681 , MumBAi , 01-01-1970
C1283 , owNER_283, +91 9875377634 ,JAipUR  , 01/01/1970 
C1284 , OWNeR_284 ,+91 9668871266,  hYderaBaD ,01-01-1970 
 c1285  , ownEr_285  ,+91 9693160149 ,cHEnNaI,01 jaN 1970 
c1286, oWner_286,+91 9415169397  , KolKaTA ,1970/01/01
 C1287  ,owNER_287,+91 9585161169 ,BANGALORE  ,01/01/1970
C1288  , OwNEr_288,  +91 9406920967 ,muMBai , 1970/01/01
 C1289,OwNEr_289 ,+91 9443681054, BanGalORe,01-01-1970
c1290,OwNeR_290,+91 9162987077, BanGalORe , 1970/01/01
  C1291,  oWNER_291,+91 9694002561  , PUNE , 1970/01/01
 c1292 ,OwNer_292,+91 9927690294 ,LUcKNow ,"JAn 01, 1970"
  C1293,owNer_293, +91 9644306879 ,HYdeRABAd, 01/01/1970
 c1294, owNER_294,+91 9593675188,KOlkAtA , 1970/01/01
 C1295 ,owNer_295,+91 9469695095 ,MuMbAi ,1970/01/01 
 C1296, OWNer_296 , +91 9696206771,chenNAI,1970/01/01
C1297,  owner_297 ,+91 9208339535 ,dELHi, 1970-01-01
C1298  , owner_298,+91 9883230404, MumBAi ,01-01-1970 
  C1299,oWneR_299 ,+91 9978028762 ,ahMEdABaD ,1970/01/01
c1300,  oWNer_300,+91 9444711564 ,BaNgAlORE ,01-01-1970
 c1301 ,OwNER_301 ,  +91 9736044392,aHmEdaBaD,"JAn 01, 1970"
 c1302, OWNEr_302 , +91 9931593535 ,cHEnNAi , 1970-01-01
 C1303, OWNeR_303, +91 9523705797 ,mUMBAi , 1970-01-01
C1304 ,oWnER_304,+91 9301152110  ,luCKNOW ,01-01-1970
c1305,OwNeR_305,+91 9858270269, jAiPuR ,01-01-1970 
C1306 ,oWner_306,+91 9203554137,hYDerabaD  ,1970/01/01
C1307,OWnEr_307,+91 9418572548 , PUNE, 01-01-1970 
 C1308, OwneR_308,  +91 9411312601 ,JAIpUR,01/01/1970
 c1309,oWnEr_309 ,+91 9216375912, MuMBAI, 01 jAn 1970
  C1310,OWnER_310 , +91 9471595896,aHmEDAbad, 01 jAn 1970 
  C1311,oWNer_311, +91 9656773195 ,CHeNNai,1970/01/01
 C1312 ,oWNer_312,+91 9579206555,CHENnAi,01-01-1970
c1313, oWnER_313,+91 9573186720 , kolKAta  ,01/01/1970
 c1314  ,  owNEr_314  ,  +91 9589851490, PunE,"JaN 01, 1970"
  c1315  , OWnER_315,+91 9830384319,MumBai,01-01-1970
c1316,OwNEr_316,+91 9583241851 , delhi, 01-01-1970
C1317, owNer_317,+91 9604480215 ,PUnE,1970-01-01
C1318, OWnEr_318, +91 9931559641, HYDEraBAD,01-01-1970
C1319 , oWneR_319,+91 9747024007  ,cHENNai, 01-01-1970
c1320 ,OWNEr_320 , +91 9616905431, lUckNOW,"jAn 01, 1970"
C1321,OwnEr_321, +91 9765593483,AhmeDABad,01/01/1970
C1322  ,oWNEr_322 , +91 9635908966, ahMEdabAd ,1970-01-01 
 c1323,OWnEr_323,+91 9520645427 ,BaNgalORE  , 1970/01/01
 c1324 ,OWNer_324 , +91 9828288355, jAIPuR ,01/01/1970
c1325 , OWner_325  , +91 9878427154, HyDERaBAD ,01 jan 1970
 c1326,OWnER_326,  +91 9714061309,HyderaBAd ,01 jaN 1970
 c1327,OwnEr_327, +91 9228370074 , DeLhI ,01-01-1970
 c1328 ,oWNeR_328,+91 9123743069,AHMeDABaD  ,1970/01/01
C1329,owNeR_329,+91 9813093946, lUCkNow,1970-01-01 
c1330 ,OWneR_330 , +91 9732023531, LUcKnow ,1970/01/01
 c1331 , oWNEr_331 , +91 9399176520, bAnGALORe,1970-01-01 
 c1332 , OWNeR_332 ,+91 9542122999, AhMEDABAD,01 jaN 1970 
  c1333 ,  owNer_333 ,  +91 9722593865 , BanGAloRE,"JaN 01, 1970"
 c1334, owNER_334 , +91 9328909456 ,BangAlorE  ,01 jAN 1970 
 C1335 , OWNer_335  ,+91 9103943875 ,  chENnaI, 1970-01-01
c1336 ,OWner_336, +91 9813826153 , DELHi,01 JaN 1970
  C1337 ,oWNEr_337 ,+91 9974254862 , dElhi,"Jan 01, 1970"
 c1338 , ownEr_338 ,  +91 9273141365,cheNNAi,01 jAn 1970 
  c1339,  OwNEr_339, +91 9930655822,LUcknoW  , 01 jAn 1970 
 C1340 ,OwNer_340 ,+91 9899088460  ,LUcKnOw ,1970/01/01 
 C1341,OWner_341  , +91 9355587297, kOLKaTa , 01-01-1970
 C1342 ,oWNeR_342,+91 9118485588 ,luckNoW,01/01/1970
c1343 ,owneR_343 ,+91 9658737410 , banGalorE,01/01/1970
c1344  , oWNer_344  ,+91 9208799503,  DElhi ,01-01-1970 
c1345, oWner_345,+91 9749627489,aHmedaBaD ,1970/01/01
c1346 ,oWNer_346,+91 9448213037  ,CheNNAi,1970-01-01 
C1347  ,OwneR_347, +91 9313526120, AhmeDabaD , 01-01-1970
 C1348,OwnER_348 ,+91 9534757240,PuNE  , 01 Jan 1970
C1349 ,ownEr_349,+91 9897443885 ,banGaLOre, 01/01/1970
 c1350 ,oWNER_350,+91 9271433543 , HYDErAbAd ,01/01/1970 
 C1351,oWnEr_351, +91 9891294908, ChENNaI ,1970-01-01 
c1352, oWneR_352 , +91 9724480318,deLhI, 1970-01-01 
 C1353,OWner_353,+91 9866259260,CHeNNAI,1970-01-01
C1354,oWneR_354,  +91 9854681053 , jaipur,"JAN 01, 1970"
  C1355  ,  oWnER_355 , +91 9615951350 , HYDerABAd ," jaN 01, 1970"
c1356 , OWNER_356, +91 9607684893 ,  BanGaLorE ,1970/01/01
c1357, oWneR_357 ,  +91 9729204689 , LUCknoW,"JaN 01, 1970"
 c1358  ,OWNer_358 , +91 9393316290 ,hyderABAD , 01-01-1970
c1359, oWNER_359, +91 9932416153,pUNe ,01-01-1970 
 C1360,OwNER_360 , +91 9148099895,  mUmBai,"JaN 01, 1970"
  C1361 , OwnEr_361 , +91 9894825249 , mUmBai ,1970/01/01
